회차,추첨일,번호1,번호2,번호3,번호4,번호5,번호6,보너스번호,총판매금액,1등당첨자수,1등당첨금액,2등당첨자수,2등당첨금액,3등당첨자수,3등당첨금액,4등당첨자수,4등당첨금액,5등당첨자수,5등당첨금액
1,20021207,10,23,29,33,37,40,16,"3,681,782,000",-,-,1,"143,934,100",28,"5,140,500","2,537","113,400","40,155","10,000"
2,20021214,9,13,21,25,32,42,2,"4,904,274,000",1,"2,002,006,800",2,"94,866,800",103,"1,842,000","3,763","100,800","55,480","10,000"
3,20021221,11,16,19,21,27,31,30,"4,729,342,000",1,"2,000,000,000",-,-,139,"1,174,100","5,940","54,900","73,256","10,000"
4,20021228,14,27,30,31,40,42,2,"5,271,464,000",-,-,1,"211,191,200",29,"7,282,400","2,777","152,100","52,382","10,000"
5,20030104,16,24,29,40,41,42,3,"6,277,102,000",-,-,-,-,42,"6,033,800","3,043","166,500","60,434","10,000"
6,20030111,14,15,26,27,40,42,34,"15,305,356,000",1,"6,574,451,700",3,"196,297,600",138,"4,267,300","13,445","87,600","176,375","10,000"
6,20030111,14,15,26,27,40,42,34,"15,305,356,000",1,"6,574,451,700",3,"196,297,600",138,"4,267,300","13,445","87,600","176,375","10,000"
7,20030118,2,9,16,25,26,40,42,"12,794,890,000",-,-,9,"48,165,000",270,"1,605,500","13,229","65,500","206,259","10,000"
7,20030118,2,9,16,25,26,40,42,"12,794,890,000",-,-,9,"48,165,000",270,"1,605,500","13,229","65,500","206,259","10,000"
8,20030125,8,19,25,34,37,39,9,"20,751,450,000",-,-,6,"131,555,000",348,"2,268,100","14,279","110,500","248,242","10,000"
8,20030125,8,19,25,34,37,39,9,"20,751,450,000",-,-,6,"131,555,000",348,"2,268,100","14,279","110,500","248,242","10,000"
9,20030201,2,4,16,17,36,39,14,"73,624,020,000",-,-,4,"769,456,500",352,"8,743,800","23,672","260,000","603,375","10,000"
9,20030201,2,4,16,17,36,39,14,"73,624,020,000",-,-,4,"769,456,500",352,"8,743,800","23,672","260,000","603,375","10,000"
10,20030208,9,25,30,33,41,44,6,"260,856,392,000",13,"6,430,437,900",236,"40,813,400","11,247","856,400","703,234","27,300","3,410,846","10,000"
10,20030208,9,25,30,33,41,44,6,"260,856,392,000",13,"6,430,437,900",236,"40,813,400","11,247","856,400","703,234","27,300","3,410,846","10,000"
11,20030215,1,7,36,37,41,42,14,"91,925,306,000",5,"4,780,152,300",11,"362,132,700",428,"9,307,100","38,515","206,800","612,805","10,000"
12,20030222,2,11,21,25,39,45,44,"76,255,508,000",12,"1,348,845,700",27,"99,914,400","1,903","1,417,500","76,845","70,200","1,115,084","10,000"
13,20030301,22,23,25,37,38,42,26,"66,532,136,000",-,-,6,"433,309,300",450,"5,777,400","29,601","175,600","726,751","10,000"
14,20030308,2,6,12,31,33,40,15,"99,838,648,000",4,"9,375,048,300",28,"130,363,400","1,421","2,568,700","77,736","93,900","1,341,756","10,000"
15,20030315,3,4,16,30,31,37,13,"73,264,910,000",1,"17,014,245,000",16,"177,231,700",509,"5,571,100","39,202","144,600","827,538","10,000"
16,20030322,6,7,24,37,38,40,33,"75,777,348,000",4,"4,377,146,100",12,"243,174,700",862,"3,385,200","47,255","123,500","870,770","10,000"
17,20030329,3,4,9,17,32,37,1,"72,718,152,000",3,"5,349,491,200",9,"297,193,900","1,142","2,342,100","61,651","86,700","961,162","10,000"
18,20030405,3,12,13,19,32,35,29,"66,371,660,000",-,-,15,"175,017,300",664,"3,953,700","38,453","136,500","693,323","10,000"
19,20030412,6,30,38,39,40,43,26,"105,957,818,000",1,"40,722,959,400",14,"297,278,500",697,"5,971,100","55,154","150,900","1,135,991","10,000"
20,20030419,10,14,18,20,23,30,41,"81,056,776,000",1,"19,352,212,800",14,"230,383,400",888,"3,632,100","48,158","133,900","827,470","10,000"
21,20030426,6,12,17,18,31,32,21,"84,247,142,000",23,"797,475,400",26,"117,576,500","2,008","1,522,400","82,996","73,600","1,155,368","10,000"
22,20030503,4,5,6,8,17,39,25,"79,455,152,000",4,"4,552,194,900",32,"94,837,300",827,"3,669,600","53,248","113,900","937,961","10,000"
23,20030510,5,13,17,18,33,42,44,"77,374,256,000",4,"4,317,947,700",23,"125,157,900","1,372","2,098,100","63,717","90,300","990,081","10,000"
24,20030517,7,8,27,29,36,43,6,"78,486,634,000",-,-,18,"176,023,700",925,"3,425,300","52,777","120,000","755,905","10,000"
25,20030524,2,4,21,26,43,44,16,"120,073,768,000",2,"24,227,745,300",28,"175,267,400","1,111","4,417,100","58,903","166,600","1,096,200","10,000"
26,20030531,4,5,7,18,20,25,31,"80,193,026,000",5,"3,495,069,900",39,"74,680,900","1,340","2,173,500","72,252","80,600","1,097,093","10,000"
27,20030607,1,20,26,28,37,43,27,"76,145,050,000",2,"9,543,982,500",16,"198,832,900",579,"5,494,500","33,509","189,800","625,925","10,000"
28,20030614,9,18,23,25,35,37,1,"75,448,366,000",10,"1,700,361,100",22,"128,815,200","1,164","2,434,600","57,870","97,900","938,483","10,000"
29,20030621,1,5,13,34,39,40,11,"74,523,120,000",5,"3,552,594,000",17,"174,146,700",752,"3,936,800","42,347","139,800","765,661","10,000"
30,20030628,8,17,20,35,36,44,4,"72,399,690,000",2,"8,728,555,500",22,"132,250,800",872,"3,336,600","42,319","137,500","710,466","10,000"
