회차,순번,당첨등수,당첨유형,당첨유형코드,판매점명,판매점ID,전화번호,운영코드,시도,시군구,상세주소,전체주소,위도,경도,로또645판매,연금복권판매,스피또1000판매,스피또2000판매,신규연금복권판매
262,14,1,자동,Q,태극로또전문점,14110619,031-631-6906,1,경기,이천시,창전동,경기 이천시 창전동  459,37.28156,127.45035,Y,N,Y,Y,Y
262,18,1,자동,Q,대박로또복권,14210094,033-765-1890,3,강원,원주시,관설동,강원 원주시 관설동  1771-6패밀리마트관설에버빌점,37.315323,127.961629,Y,N,N,N,N
262,1,2,,N,노다지,11190127,02-434-3020,3,서울,중랑구,면목동,서울 중랑구 면목동  74-35,37.589488,127.091767,Y,N,N,N,N
262,2,2,,N,샌드빈(SAND BEAN),11101278,02-2277-8956,1,서울,중구,장충동2가,서울 중구 장충동2가  9-2,37.561344,127.00559,Y,N,Y,N,N
262,3,2,,N,소망슈퍼,11100369,02-382-3596,3,서울,은평구,역촌동,서울 은평구 역촌동  15-1,37.607584,126.921456,N,Y,Y,Y,Y
262,4,2,,N,성동구가로판매,11100953,02-469-8553,3,서울,성동구,성수동2가,서울 성동구 성수동2가  235-1호 앞도로가로판매,37.537017,127.060701,Y,N,N,N,N
262,5,2,,N,꽃돼지복권방,11110464,02-2248-6570,3,서울,동대문구,장안동,서울 동대문구 장안동  361-4,37.566108,127.068087,Y,N,N,N,N
262,6,2,,N,복권나라청량리2호점,11100189,02-966-9029,3,서울,동대문구,전농2동,서울 동대문구 전농2동  622-11,37.578416,127.050364,N,Y,Y,Y,Y
262,7,2,,N,행운복권방,12610140,051-893-8945,3,부산,부산진구,개금1동,부산 부산진구 개금1동  523-5,35.152103,129.020168,Y,N,N,N,N
262,8,2,,N,대박로또,12710150,053-216-9194,3,대구,북구,고성동2가,대구 북구 고성동2가  112-3 고성아파트상가 101-18,35.880181,128.582117,N,N,Y,Y,Y
262,9,2,,N,O.K마트,13000101,042-253-0520,3,대전,중구,은행동,대전 중구 은행동  53-27번지,36.328425,127.428566,Y,N,N,N,N
262,10,2,,N,현대 LOTTO 복권,13000142,042-528-0645,1,대전,중구,유천동,대전 중구 유천동  308-23,36.317479,127.39463,Y,N,Y,Y,Y
262,11,2,,N,울트라복권방,13110085,052-258-6663,3,울산,남구,삼산동,울산 남구 삼산동  192-1,35.523354,129.330644,N,N,Y,Y,Y
262,12,2,,N,삼성복권방,13110040,052-260-8922,3,울산,남구,옥동,울산 남구 옥동  1405-21 훼미리마트,35.541095,129.350749,Y,N,N,N,N
262,13,2,,N,로또판매점,14110553,031-533-2665,1,경기,포천시,신북면,경기 포천시 신북면 가채리 가채리 23-2,37.920216,127.22082,Y,N,Y,Y,Y
262,15,2,,N,신천가판점,14100511,031-311-6585,3,경기,시흥시,신천동,경기 시흥시 신천동  712-10,37.440999,126.784616,Y,N,N,N,N
262,16,2,,N,원종슈퍼,14110023,032-672-2862,3,경기,부천시,오정구,경기 부천시 오정구 원종동 원종동 140-3 코아상가 4호,37.525303,126.799655,Y,N,N,N,N
262,17,2,,N,Sound Wave,14100029,02-2684-8373,3,경기,광명시,광명동,경기 광명시 광명동  150-7,37.478889,126.856908,Y,N,N,N,N
262,19,2,,N,LA25시 편의점,14300065,043-266-6051,3,충북,청주시,흥덕구,충북 청주시 흥덕구 봉명동 봉명동 969-4번지,36.639993,127.463624,Y,N,N,N,N
262,20,2,,N,복권명당,14390019,043-296-5542,1,충북,청주시,상당구,충북 청주시 상당구 용암동 용암동 2099 건영상가 126,36.608823,127.506272,Y,N,Y,Y,Y
262,21,2,,N,천하제일 복권 연무,14490006,041-742-8645,3,충남,논산시,연무읍,충남 논산시 연무읍 안심리 안심리 1126-36,36.135473,127.100082,Y,N,N,N,N
262,22,2,,N,원마트,14890061,055-263-4609,3,경남,창원시,용호동,경남 창원시 용호동  73-2 라이크빌1층 102호,35.230441,128.680941,N,Y,Y,Y,Y
262,23,2,,N,세정쇼핑,14800098,055-231-4473,3,경남,마산시,내서읍,경남 마산시 내서읍 상곡리 상곡리 16,35.24357,128.501143,Y,N,N,N,N
263,2,1,자동,Q,-,11110312,02-587-5542,3,서울,서초구,서초동,서울 서초구 서초동  1591-3 탑스벤처빌딩 1층 서초마트내,37.487112,127.01316,Y,N,N,N,N
263,5,1,자동,Q,GS25(관악한일),21100403,02-581-7071,3,서울,관악구,남현동,서울 관악구 남현동  602-11 한일빌딩 1층,37.473975,126.981314,Y,N,N,N,N
263,7,1,자동,Q,왕대박로또방,12610045,051-703-4334,3,부산,해운대구,좌동,부산 해운대구 좌동  998-7 1층,35.160866,129.155454,N,N,Y,Y,N
263,10,1,자동,Q,하나편의점,12800156,032-464-5026,1,인천,남동구,만수5동,인천 남동구 만수5동  906-2,37.455931,126.72197,Y,Y,Y,Y,Y
263,24,1,자동,Q,로또,14110192,031-981-0125,3,경기,김포시,사우동,경기 김포시 사우동  872 청원프라자 107,37.622422,126.721745,Y,N,N,N,N
263,25,1,자동,Q,예스24,14100463,031-974-4071,3,경기,고양시,덕양구,경기 고양시 덕양구 화정동 화정동 977 밀레니엄타워105,37.632136,126.833059,Y,N,N,N,N
263,1,2,,N,복권나라,11190007,02-2245-9298,1,서울,성동구,용답동,서울 성동구 용답동  14-1 1층,37.564452,127.05385,Y,N,Y,Y,Y
263,3,2,,N,세진마트,11100591,02-3141-0711,3,서울,마포구,상수동,서울 마포구 상수동  323-1,37.55566,126.934011,N,N,Y,Y,N
263,4,2,,N,대박나라,11190078,02-714-0325,1,서울,마포구,신공덕동,서울 마포구 신공덕동  24-20외 1필지,37.557485,126.90627,Y,N,Y,Y,Y
263,6,2,,N,성모마트,11101694,02-538-5173,3,서울,강남구,역삼동,서울 강남구 역삼동  813,37.502802,127.02634,N,N,Y,Y,Y
263,8,2,,N,청솔서점,12600274,051-202-6338,1,부산,사하구,신평동,부산 사하구 신평동  589-5,35.098818,128.95895,Y,N,Y,Y,Y
263,9,2,,N,자유극장옆토큰판매소,12700162,053-426-0201,3,대구,중구,화전동,대구 중구 화전동  36번지도로,35.872857,128.594528,N,N,Y,N,N
263,11,2,,N,대농슈퍼,12800020,032-873-2800,1,인천,남구,주안5동,인천 남구 주안5동  15-2,37.467999,126.68063,Y,N,Y,Y,Y
263,12,2,,N,로또주안점,12810135,032-886-1703,3,인천,남구,숭의동,인천 남구 숭의동  408-7,37.462997,126.64097,Y,N,N,N,N
263,13,2,,N,홈돌이로또,12800209,032-544-5900,1,인천,계양구,작전동,인천 계양구 작전동  448-7,37.545475,126.73872,Y,N,Y,Y,Y
263,14,2,,N,진플러스안경,13000036,042-221-1011,1,대전,중구,부사동,대전 중구 부사동  153-20번지,36.312805,127.43504,Y,Y,Y,Y,Y
263,15,2,,N,천하명당,13190023,052-248-1577,3,울산,중구,학산동,울산 중구 학산동  90-10,35.560471,129.350067,Y,N,N,N,N
263,16,2,,N,천하복권방,13190004,052-233-6882,1,울산,동구,전하동,울산 동구 전하동  618-8,35.512426,129.42749,Y,N,N,N,N
263,17,2,,N,로또,14110554,031-532-5645,3,경기,포천시,영중면,경기 포천시 영중면 양문리 양문리 770-2,38.001739,127.242858,N,Y,Y,Y,Y
263,18,2,,N,훼미리(의정부호원),24100152,031-875-3044,3,경기,의정부시,호원동,경기 의정부시 호원동  442-3 화설프라자 1층,37.716359,127.047488,Y,N,N,N,N
263,19,2,,N,크라운베이커리,14100761,031-873-4992,1,경기,의정부시,용현동,경기 의정부시 용현동  230-15,37.725824,127.04916,Y,N,Y,Y,Y
263,20,2,,N,행운주는로또판매,14110435,031-402-3363,1,경기,안산시,단원구,경기 안산시 단원구 초지동 초지동 735-4 태영프라자 105호,37.306737,126.81511,Y,N,Y,Y,Y
263,21,2,,N,GS25(수원행복),24100239,031-273-0713,3,경기,수원시,영통구,경기 수원시 영통구 영통동 영통동 974-6 세일빌딩111,37.24678,127.060752,Y,N,N,N,N
263,22,2,,N,로또까르푸오리점,14110044,031-702-0135,3,경기,성남시,분당구,경기 성남시 분당구 구미동 구미동 159 한국까르푸오리점 B1F,37.395513,127.113627,N,N,Y,Y,Y
263,23,2,,N,미래복권닷컴,14110045,031-707-5003,3,경기,성남시,분당구,경기 성남시 분당구 서현동 서현동 312-2,37.37122,127.13987,Y,N,N,N,N
263,26,2,,N,복권가판,14200098,,1,강원,춘천시,중앙로2가,강원 춘천시 중앙로2가  27 주택은행 앞,37.879219,127.72668,Y,Y,Y,Y,Y
263,27,2,,N,백억복권 효성점,14310015,043-298-5001,1,충북,청주시,흥덕구,충북 청주시 흥덕구 비하동 비하동 308-4,36.607447,127.4893,Y,Y,Y,Y,Y
263,28,2,,N,서산휴게소(하)판매,14410087,041-666-0943,1,충남,서산시,해미면,충남 서산시 해미면 삼송리 삼송리 119,36.761435,126.45469,Y,N,N,N,N
263,29,2,,N,팡팡로또복권,14510104,070-8221-4650,3,전북,김제시,요촌동,전북 김제시 요촌동  산12-25,35.804556,126.885693,N,N,Y,Y,Y
263,30,2,,N,천하명당산북점,14500025,063-466-1745,1,전북,군산시,산북동,전북 군산시 산북동  3541-10,35.967596,126.68426,Y,N,Y,Y,Y
263,31,2,,N,북부상회,14600070,061-763-2413,1,전남,광양시,광양읍,전남 광양시 광양읍 칠성리 칠성리 901-2,34.979312,127.58304,Y,N,Y,Y,Y
263,32,2,,N,썬마트(왜관공단점),14710134,,1,경북,칠곡군,왜관읍,경북 칠곡군 왜관읍 금산리 금산리 986-5 주공상가 105호,35.983375,128.39839,Y,N,N,N,N
263,33,2,,N,천주산로또,14810192,055-286-0365,3,경남,창원시,신촌동,경남 창원시 신촌동  15-12  축산홈마트,35.208234,128.626486,N,N,Y,Y,N
264,5,1,수동,M,C-Space 신림녹두,21100007,02-838-1175,3,서울,관악구,신림9동,서울 관악구 신림9동  240-3  밀라트빌딩,37.486573,126.912983,N,Y,Y,Y,Y
264,8,1,자동,Q,천하명당초량점,12600057,051-465-9497,1,부산,동구,초량3동,부산 동구 초량3동  145-13,35.11688,129.0401,Y,N,Y,Y,Y
264,9,1,자동,Q,미니스톱기장점,12690043,051-722-1187,1,부산,기장군,기장읍,부산 기장군 기장읍  동부리162-20,35.243881,129.21651,Y,N,Y,Y,Y
264,13,1,수동,M,복권명당,12700045,053-742-4021,1,대구,수성구,수성동1가,대구 수성구 수성동1가  217-4,35.855682,128.61344,Y,N,Y,Y,Y
264,19,1,수동,M,당첨로또복권,14110272,031-477-1136,1,경기,안양시,동안구,경기 안양시 동안구 호계3동 859-13,37.362004,126.96251,Y,N,Y,Y,Y
264,24,1,자동,Q,LG슈퍼,14100049,02-2611-4583,1,경기,광명시,철산동,경기 광명시 철산동  163번지,37.481058,126.86336,Y,N,Y,Y,Y
264,33,1,수동,M,제철로또대리점,14610085,061-795-5500,1,전남,광양시,태인동,전남 광양시 태인동  303-45,34.935433,127.69425,Y,N,Y,Y,Y
264,1,2,,N,태원정보통신,11101519,,1,서울,중랑구,상봉2동,서울 중랑구 상봉2동  88-75,37.595434,127.08967,Y,N,Y,Y,Y
264,2,2,,N,동대문1번출구 가판65,11100838,02-741-9781,1,서울,종로구,창신동,서울 종로구 창신동  560,37.57201,127.01117,Y,N,Y,Y,Y
264,3,2,,N,마천할인마트,11100784,02-406-5519,3,서울,송파구,마천1동,서울 송파구 마천1동  178-85,37.496592,127.15209,Y,N,N,N,N
264,4,2,,N,행운복권,11110250,,3,서울,노원구,공릉동,서울 노원구 공릉동  617-2,37.619614,127.075321,Y,N,N,N,N
264,6,2,,N,가로판매점,11101165,02-487-5911,1,서울,강동구,길동,서울 강동구 길동  458-5,37.534929,127.13853,Y,N,Y,Y,Y
264,7,2,,N,신평로또복권방,12610014,051-203-8997,3,부산,사하구,신평동,부산 사하구 신평동  135-9,35.093316,128.97398,N,Y,Y,N,Y
264,10,2,,N,복권명당,12700045,053-742-4021,1,대구,수성구,수성동1가,대구 수성구 수성동1가  217-4,35.855682,128.61344,Y,N,Y,Y,Y
